ScienceNews.org_1	Science News Daily news articles, blogs and biweekly	Magazine of the Society for Science and the Public
ScienceChannel_1	Science Channel-The Best Science TV	Science Channel video and news explores wormholes, outer space, engineering, cutting-edge tech, and the latest on your favorite SCI programs!
nyuskirball.org_1	Fun Science for Kids - nyuskirball	Watch science come to life in this epic holiday show—get tickets now!
B2B.com_1	B2B Tech Advertising	Building Brands, Growing Revenue. Award-Winning Technology Campaigns
Spiceworks.com‎_1	IT Advertising Solutions - Market to 5 Mil IT User Community‎	Free Insider Report From IT Buyers!
YP.com_1	Advertise with YP - Promote Locally. Use Online Ads‎	YP Brings the Customers You Want.
makovsky.com‎_1	Makovsky Technology	Leaders in consumer and enterprise communications.
audionetwork.com‎_1	Music for Advertisements	Download from our extensive library of over 80,000 tracks for your ad!
radiorate.com‎_1	Buy Discounted Radio	Radio Rate: the most cost effective fastest, smartest way to buy radio!
jelli.com‎_1	Radio Ads Made Easy	Fastest and easiest way to run national radio ad campaigns
reverbnation.com‎_1	Advertising Music	Find New Fans On Social Media. 750 Million Users. Start Today!
thecampusagency.com‎_1	School Advertising	Connect and Engage With College Students - Contact Us Today!
snhu.edu‎_1	Advertising School Online	Earn Your Bachelor's Degree w/ the Advertising School at SNHU!
itt-tech.eud_1	Tech School - Technology Focused Degree Programs‎	Request More Information Today!
eastwick.edu‎_1	Start a trade career	Affordable training for Plumbing, Welding, Carpentry, Electrical.
rentalcars.com‎_1	Rental Cars From $11	Best Rates on All Cars Guaranteed. All the Best Names at Low Prices!
ORBITZ.com‎_1	ORBITZ Car Rental Deals	Compare Prices on Top Car Rental Agencies & Book With a Trusted Name.
hotwire.com‎_1	Rental Cars From $11.95‎	Find Rental Cars from $10.95/Day.Hotwire Has All Big Car Brands!
priceline.com‎_1	$10.95+ Rental Cars‎	Compare Cars from 17 Top Brands.Best Price Guaranteed at Priceline!
kayak.com‎_1	Cheap Rental Cars	Find Cheap Rental Car Rates Fast. Compare By Location, Model, & More.
hotwire.com‎_2	Hotwire Hotels For Less - Book Hotel Rooms For Less‎	Save More With Our Hot Rates!
priceline.com‎_2	Priceline Hotels‎	Save up to 60% on Hotel Rooms! Priceline: No One Deals Like We Do.
audionetwork.com‎_2	Listen to Music Online‎	Listen To Live News & Music Online. Capital Public Radio.
kaya.com‎_1	Cheap Car Car	Find Cheap Rental Car Rates Fast. Compare By Location, Model, & More.
kayaya.com‎_1	Cheap Rental Car	Find Cheap Rental Car Rates Fast. Compare By Location, Model, & More.
pubgrade.com‎_1	Life Science Advertising	Promote to scientific customers like never before. Get Free Demo!
AEDSuperstore.com_1	Cardiac Science AED	Save On Cardiac Sci AEDs, Batteries Cases & More. Free & Fast Shipping!